,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
299,#119 Best Public Elementary Schools in New Jersey,E,Garfield,AOverall Niche Grade,K-12 ,Bergen Arts & Sciences Charter School,"1,126 Students",122.0,14:1 Student-Teacher Ratio, NJ ,garfield,Public School ,https://www.niche.com/k12/bergen-arts--and--sciences-charter-school-garfield-nj/
301,#120 Best Public Elementary Schools in New Jersey,E,Hillsborough Township Public School District,AOverall Niche Grade,K-4 ,Amsterdam Elementary School,509 Students,123.0,12:1 Student-Teacher Ratio, NJ ,hillsborough,Public School ,https://www.niche.com/k12/amsterdam-elementary-school-hillsborough-nj/
303,#121 Best Public Elementary Schools in New Jersey,E,Monroe Township School District,AOverall Niche Grade,"PK, K-3 ",Oak Tree Elementary School,670 Students,124.0,16:1 Student-Teacher Ratio, NJ ,monroe-township,Public School ,https://www.niche.com/k12/oak-tree-elementary-school-monroe-township-nj/
305,#122 Best Public Elementary Schools in New Jersey,E,Woodcliff Lake School District,AOverall Niche Grade,"PK, K-5 ",Dorchester Elementary School,489 Students,125.0,11:1 Student-Teacher Ratio, NJ ,woodcliff-lake,Public School ,https://www.niche.com/k12/dorchester-elementary-school-woodcliff-lake-nj/
308,#123 Best Public Elementary Schools in New Jersey,E,Mount Olive Township School District,AOverall Niche Grade,K-5 ,Sandshore School,399 Students,126.0,13:1 Student-Teacher Ratio, NJ ,budd-lake,Public School ,https://www.niche.com/k12/sandshore-school-budd-lake-nj/
310,#124 Best Public Elementary Schools in New Jersey,E,Little Falls Township Public Schools,AOverall Niche Grade,3-4 ,Little Falls School No. 3,184 Students,127.0,11:1 Student-Teacher Ratio, NJ ,no-3-little-falls,Public School ,https://www.niche.com/k12/little-falls-school-no-3-little-falls-nj/
312,#125 Best Public Elementary Schools in New Jersey,E,Princeton Public Schools,AOverall Niche Grade,"PK, K-5 ",Community Park Elementary School,358 Students,128.0,10:1 Student-Teacher Ratio, NJ ,princeton,Public School ,https://www.niche.com/k12/community-park-elementary-school-princeton-nj/
334,,E,nj,,,,,,,nj,,,https://www.niche.com/k12/soaring-heights-jersey-city-nj/
335,#133 Best Public Elementary Schools in New Jersey,E,Norwood,AOverall Niche Grade,K-8 ,Norwood Public School,605 Students,138.0,12:1 Student-Teacher Ratio, NJ ,norwood,Public School ,https://www.niche.com/k12/norwood-public-school-norwood-nj/
337,#134 Best Public Elementary Schools in New Jersey,E,Marlboro Township School District,AOverall Niche Grade,1-5 ,Frank Defino Central Elementary School,430 Students,139.0,9:1 Student-Teacher Ratio, NJ ,marlboro,Public School ,https://www.niche.com/k12/frank-defino-central-elementary-school-marlboro-nj/
340,#135 Best Public Elementary Schools in New Jersey,E,Glen Rock Board of Education,AOverall Niche Grade,K-5 ,Richard E. Byrd School,263 Students,140.0,15:1 Student-Teacher Ratio, NJ ,glen-rock,Public School ,https://www.niche.com/k12/richard-e-byrd-school-glen-rock-nj/
342,#136 Best Public Elementary Schools in New Jersey,E,Berkeley Heights School District,AOverall Niche Grade,2-5 ,Mountain Park Elementary School,209 Students,141.0,10:1 Student-Teacher Ratio, NJ ,berkeley-hts,Public School ,https://www.niche.com/k12/mountain-park-elementary-school-berkeley-hts-nj/
344,#137 Best Public Elementary Schools in New Jersey,E,Montclair Public Schools,AOverall Niche Grade,K-5 ,Northeast School,405 Students,142.0,11:1 Student-Teacher Ratio, NJ ,upper-montclair,Public School ,https://www.niche.com/k12/northeast-school-upper-montclair-nj/
348,#138 Best Public Elementary Schools in New Jersey,E,Madison Public School District,AOverall Niche Grade,K-5 ,Torey J. Sabatini School,323 Students,143.0,13:1 Student-Teacher Ratio, NJ ,madison,Public School ,https://www.niche.com/k12/torey-j-sabatini-school-madison-nj/
350,#139 Best Public Elementary Schools in New Jersey,E,Glen Rock Board of Education,AOverall Niche Grade,K-5 ,Clara E. Coleman School,290 Students,144.0,14:1 Student-Teacher Ratio, NJ ,glen-rock,Public School ,https://www.niche.com/k12/clara-e-coleman-school-glen-rock-nj/
352,#140 Best Public Elementary Schools in New Jersey,E,Sparta Township Public School District,AOverall Niche Grade,"PK, K-2 ",Sparta Alpine School,614 Students,145.0,13:1 Student-Teacher Ratio, NJ ,sparta,Public School ,https://www.niche.com/k12/sparta-alpine-school-sparta-nj/
354,#141 Best Public Elementary Schools in New Jersey,E,Hopewell Valley Regional School District,AOverall Niche Grade,"PK, K-5 ",Hopewell Elementary School,430 Students,146.0,10:1 Student-Teacher Ratio, NJ ,hopewell,Public School ,https://www.niche.com/k12/hopewell-elementary-school-hopewell-nj/
356,#142 Best Public Elementary Schools in New Jersey,E,Franklin Lakes School District,AOverall Niche Grade,"PK, K-5 ",High Mountain Road Elementary School,211 Students,147.0,8:1 Student-Teacher Ratio, NJ ,franklin-lakes,Public School ,https://www.niche.com/k12/high-mountain-road-elementary-school-franklin-lakes-nj/
360,#143 Best Public Elementary Schools in New Jersey,E,New Providence School District,AOverall Niche Grade,"PK, K-6 ",Allen W. Roberts Elementary School,666 Students,148.0,14:1 Student-Teacher Ratio, NJ ,new-providence,Public School ,https://www.niche.com/k12/allen-w-roberts-elementary-school-new-providence-nj/
362,#144 Best Public Elementary Schools in New Jersey,E,New Providence School District,AOverall Niche Grade,K-6 ,Salt Brook Elementary School,646 Students,149.0,15:1 Student-Teacher Ratio, NJ ,new-providence,Public School ,https://www.niche.com/k12/salt-brook-elementary-school-new-providence-nj/
364,#145 Best Public Elementary Schools in New Jersey,E,Allendale Public School District,AOverall Niche Grade,"PK, K-3 ",Hillside School,359 Students,150.0,13:1 Student-Teacher Ratio, NJ ,allendale,Public School ,https://www.niche.com/k12/hillside-school-allendale-nj/
366,#146 Best Public Elementary Schools in New Jersey,E,East Brunswick Township School District,AOverall Niche Grade,"PK, K-5 ",Bowne-Munro Elementary School,209 Students,151.0,10:1 Student-Teacher Ratio, NJ ,e-brunswick,Public School ,https://www.niche.com/k12/bowne-munro-elementary-school-e-brunswick-nj/
368,#147 Best Public Elementary Schools in New Jersey,E,East Brunswick Township School District,AOverall Niche Grade,"PK, K-5 ",Murray A. Chittick Elementary School,396 Students,152.0,9:1 Student-Teacher Ratio, NJ ,e-brunswick,Public School ,https://www.niche.com/k12/murray-a-chittick-elementary-school-e-brunswick-nj/
371,#148 Best Public Elementary Schools in New Jersey,E,Moorestown Township Public School District,AOverall Niche Grade,4-6 ,Moorestown Upper Elementary School,858 Students,153.0,11:1 Student-Teacher Ratio, NJ ,moorestown,Public School ,https://www.niche.com/k12/moorestown-upper-elementary-school-moorestown-nj/
373,#149 Best Public Elementary Schools in New Jersey,E,Little Silver Boro School District,AOverall Niche Grade,"PK, K-4 ",Point Road School,472 Students,154.0,11:1 Student-Teacher Ratio, NJ ,little-silver,Public School ,https://www.niche.com/k12/point-road-school-little-silver-nj/
375,#150 Best Public Elementary Schools in New Jersey,E,Westwood Regional School District,AOverall Niche Grade,K-5 ,Berkeley Avenue Elementary School,297 Students,155.0,10:1 Student-Teacher Ratio, NJ ,westwood,Public School ,https://www.niche.com/k12/berkeley-avenue-elementary-school-westwood-nj/
397,,E,,,,Lavallette Elementary School,,,,,lavallette,,https://www.niche.com/k12/lavallette-elementary-school-lavallette-nj/
404,#160 Best Public Elementary Schools in New Jersey,E,Roebling,AOverall Niche Grade,K-3 ,Riverbank Charter School of Excellence,142 Students,167.0,10:1 Student-Teacher Ratio, NJ ,of-excellence-roebling,Public School ,https://www.niche.com/k12/riverbank-charter-school-of-excellence-roebling-nj/
406,#161 Best Public Elementary Schools in New Jersey,E,Cherry Hill School District,AOverall Niche Grade,K-5 ,Joseph D. Sharp Elementary School,353 Students,168.0,19:1 Student-Teacher Ratio, NJ ,cherry-hill,Public School ,https://www.niche.com/k12/joseph-d-sharp-elementary-school-cherry-hill-nj/
408,#162 Best Public Elementary Schools in New Jersey,E,Glen Rock Board of Education,AOverall Niche Grade,K-5 ,Alexander Hamilton School,270 Students,169.0,13:1 Student-Teacher Ratio, NJ ,glen-rock,Public School ,https://www.niche.com/k12/alexander-hamilton-school-glen-rock-nj/
412,,E,,,,Hoboken Dual Language Charter School,,,,,hoboken,,https://www.niche.com/k12/hoboken-dual-language-charter-school-hoboken-nj/
414,#164 Best Public Elementary Schools in New Jersey,E,Flemington-Raritan Regional School District,AOverall Niche Grade,K-4 ,Barley Sheaf Elementary School,332 Students,170.0,10:1 Student-Teacher Ratio, NJ ,flemington,Public School ,https://www.niche.com/k12/barley-sheaf-elementary-school-flemington-nj/
416,#165 Best Public Elementary Schools in New Jersey,E,Scotch Plains-Fanwood School District,AOverall Niche Grade,"PK, K-4 ",J. Ackerman Coles Elementary School,510 Students,171.0,13:1 Student-Teacher Ratio, NJ ,scotch-plains,Public School ,https://www.niche.com/k12/j-ackerman-coles-elementary-school-scotch-plains-nj/
418,#166 Best Public Elementary Schools in New Jersey,E,Bridgewater-Raritan Regional School District,AOverall Niche Grade,K-4 ,Crim Primary School,313 Students,172.0,9:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/crim-primary-school-bridgewater-nj/
420,#167 Best Public Elementary Schools in New Jersey,E,Bridgewater-Raritan Regional School District,AOverall Niche Grade,"PK, K-4 ",Adamsville Primary School,509 Students,173.0,9:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/adamsville-primary-school-bridgewater-nj/
424,#168 Best Public Elementary Schools in New Jersey,E,Paramus Public School District,AOverall Niche Grade,K-4 ,Stony Lane School,180 Students,174.0,12:1 Student-Teacher Ratio, NJ ,paramus,Public School ,https://www.niche.com/k12/stony-lane-school-paramus-nj/
426,#169 Best Public Elementary Schools in New Jersey,E,Randolph Township School District,AOverall Niche Grade,K-5 ,Fernbrook Elementary School,522 Students,175.0,11:1 Student-Teacher Ratio, NJ ,randolph,Public School ,https://www.niche.com/k12/fernbrook-elementary-school-randolph-nj/
428,#170 Best Public Elementary Schools in New Jersey,E,Leonia Public School District,AOverall Niche Grade,"PK, K-5 ",Anna C. Scott School,606 Students,176.0,10:1 Student-Teacher Ratio, NJ ,leonia,Public School ,https://www.niche.com/k12/anna-c-scott-school-leonia-nj/
430,#171 Best Public Elementary Schools in New Jersey,E,Bridgewater-Raritan Regional School District,AOverall Niche Grade,K-4 ,Milltown Primary School,394 Students,177.0,9:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/milltown-primary-school-bridgewater-nj/
432,#172 Best Public Elementary Schools in New Jersey,E,Readington Township School District,AOverall Niche Grade,"PK, K-3 ",Three Bridges School,299 Students,178.0,9:1 Student-Teacher Ratio, NJ ,three-bridges,Public School ,https://www.niche.com/k12/three-bridges-school-three-bridges-nj/
435,#173 Best Public Elementary Schools in New Jersey,E,Parsippany-Troy Hills Township School District,AOverall Niche Grade,K-5 ,Intervale Elementary School,290 Students,179.0,13:1 Student-Teacher Ratio, NJ ,boonton,Public School ,https://www.niche.com/k12/intervale-elementary-school-boonton-nj/
437,#174 Best Public Elementary Schools in New Jersey,E,South Orange-Maplewood School District,AOverall Niche Grade,3-5 ,Jefferson Elementary School,474 Students,180.0,12:1 Student-Teacher Ratio, NJ ,maplewood,Public School ,https://www.niche.com/k12/jefferson-elementary-school-maplewood-nj/
439,#175 Best Public Elementary Schools in New Jersey,E,Cranford Public School District,AOverall Niche Grade,3-8 ,Orange Avenue School,755 Students,181.0,11:1 Student-Teacher Ratio, NJ ,cranford,Public School ,https://www.niche.com/k12/orange-avenue-school-cranford-nj/
446,#177 Best Public Elementary Schools in New Jersey,E,Boonton Township,AOverall Niche Grade,"PK, K-8 ",Rockaway Valley School,444 Students,184.0,10:1 Student-Teacher Ratio, NJ ,boonton-township,Public School ,https://www.niche.com/k12/rockaway-valley-school-boonton-township-nj/
448,#178 Best Public Elementary Schools in New Jersey,E,Parsippany-Troy Hills Township School District,AOverall Niche Grade,K-5 ,Rockaway Meadow School,221 Students,185.0,9:1 Student-Teacher Ratio, NJ ,parsippany,Public School ,https://www.niche.com/k12/rockaway-meadow-school-parsippany-nj/
456,#181 Best Public Elementary Schools in New Jersey,E,Newark,AOverall Niche Grade,K-12 ,North Star Academy Charter School of Newark,"4,490 Students",189.0,16:1 Student-Teacher Ratio, NJ ,of-newark-newark,Public School ,https://www.niche.com/k12/north-star-academy-charter-school-of-newark-newark-nj/
460,#182 Best Public Elementary Schools in New Jersey,E,Parsippany-Troy Hills Township School District,AOverall Niche Grade,K-5 ,Mt. Tabor School,389 Students,190.0,13:1 Student-Teacher Ratio, NJ ,mount-tabor,Public School ,https://www.niche.com/k12/mt-tabor-school-mount-tabor-nj/
462,#183 Best Public Elementary Schools in New Jersey,E,Montclair Public Schools,AOverall Niche Grade,K-5 ,Bradford Elementary School,411 Students,191.0,11:1 Student-Teacher Ratio, NJ ,upper-montclair,Public School ,https://www.niche.com/k12/bradford-elementary-school-upper-montclair-nj/
464,#184 Best Public Elementary Schools in New Jersey,E,Montville Township School District,AOverall Niche Grade,K-5 ,Cedar Hill School,298 Students,192.0,9:1 Student-Teacher Ratio, NJ ,towaco,Public School ,https://www.niche.com/k12/cedar-hill-school-towaco-nj/
467,,E,,,,West Cape May Elementary School,,,,,west-cape-may,,https://www.niche.com/k12/west-cape-may-elementary-school-west-cape-may-nj/
469,#186 Best Public Elementary Schools in New Jersey,E,Scotch Plains-Fanwood School District,AOverall Niche Grade,"PK, K-4 ",Howard B. Brunner Elementary School,383 Students,193.0,12:1 Student-Teacher Ratio, NJ ,scotch-plains,Public School ,https://www.niche.com/k12/howard-b-brunner-elementary-school-scotch-plains-nj/
471,,E,,,,Avon Elementary School,,,,,avon,,https://www.niche.com/k12/avon-elementary-school-avon-nj/
475,#188 Best Public Elementary Schools in New Jersey,E,Old Tappan Public School District,AOverall Niche Grade,K-4 ,T. Baldwin Demarest Elementary School,339 Students,194.0,12:1 Student-Teacher Ratio, NJ ,old-tappan,Public School ,https://www.niche.com/k12/t-baldwin-demarest-elementary-school-old-tappan-nj/
477,#189 Best Public Elementary Schools in New Jersey,E,East Brunswick Township School District,AOverall Niche Grade,"PK, K-5 ",Central Elementary School,386 Students,195.0,9:1 Student-Teacher Ratio, NJ ,east-brunswick,Public School ,https://www.niche.com/k12/central-elementary-school-east-brunswick-nj/
479,#190 Best Public Elementary Schools in New Jersey,E,East Brunswick Township School District,AOverall Niche Grade,"PK, K-5 ",Memorial Elementary School,452 Students,196.0,11:1 Student-Teacher Ratio, NJ ,e-brunswick,Public School ,https://www.niche.com/k12/memorial-elementary-school-e-brunswick-nj/
481,#191 Best Public Elementary Schools in New Jersey,E,Cresskill Public School District,AOverall Niche Grade,"PK, K-5 ",Edward H. Bryan School,484 Students,197.0,14:1 Student-Teacher Ratio, NJ ,cresskill,Public School ,https://www.niche.com/k12/edward-h-bryan-school-cresskill-nj/
